,date,CFS,gage_height,year
0,1959-06-23,8980,12.01,1959
1,1960-07-28,9300,12.14,1960
2,1961-09-13,9800,13.3,1961
3,1962-01-01,12153,13.31,1962
4,1963-07-16,8800,12.04,1963
5,1964-09-23,14200,14.3,1964
6,1965-08-02,6840,10.97,1965
7,1966-09-18,13000,,1966
8,1967-08-31,21500,16.25,1967
9,1968-07-09,7260,11.18,1968
10,1969-10-14,13420,13.57,1969
11,1970-01-01,12153,13.31,1970
12,1971-07-14,10600,12.87,1971
13,1972-08-24,8420,11.76,1972
14,1973-07-31,6650,11.0,1973
15,1974-09-21,23100,17.18,1974
16,1975-07-15,9630,12.22,1975
17,1976-09-23,15800,14.75,1976
18,1977-08-11,15500,14.64,1977
19,1978-09-15,12800,13.62,1978
20,1979-08-17,11700,13.25,1979
21,1980-07-15,12900,13.67,1980
22,1981-08-10,12900,13.7,1981
23,1982-09-29,15500,14.64,1982
24,1983-07-02,8060,11.68,1983
25,1984-08-22,8565,11.89,1984
26,1985-12-03,8230,11.75,1985
27,1986-10-14,13400,13.85,1986
28,1987-01-01,12153,13.31,1987
29,1988-07-19,9380,12.24,1988
30,1989-08-28,14600,14.4,1989
31,1990-11-08,8655,12.09,1990
32,1991-01-01,12153,13.31,1991
33,1992-08-07,8610,12.07,1992
34,1993-09-19,17200,15.24,1993
35,1994-06-25,8370,11.53,1994
36,1995-09-23,20300,16.2,1995
37,1996-08-06,14700,14.45,1996
38,1997-09-26,10500,12.89,1997
39,1998-10-11,10360,12.82,1998
40,1999-01-01,12153,13.31,1999
41,2000-07-18,8650,12.04,2000
42,2001-09-22,15700,14.78,2001
43,2002-10-26,11840,13.2,2002
44,2003-10-07,13600,14.07,2003
45,2004-01-01,12153,13.31,2004
46,2005-10-31,8195,12.2,2005
47,2006-10-11,10600,12.92,2006
48,2007-11-10,8940,12.22,2007
49,2008-01-01,12153,13.31,2008
50,2009-10-13,12350,13.41,2009
51,2010-01-01,12153,13.31,2010
52,2011-09-08,13000,13.61,2011
53,2012-09-24,19600,16.01,2012
54,2013-10-15,12250,13.23,2013
55,2014-01-01,12153,13.31,2014
56,2015-09-03,12900,13.6,2015
57,2016-06-27,10900,12.83,2016
58,2017-09-24,16900,15.06,2017
59,2018-06-21,11300,12.85,2018
60,2019-08-24,15700,14.62,2019
